"Item Number","Category","Vendor Number","Pack","Bottle Volume (ml)","State Bottle Retail","County","Store Number","City","Bottles Sold","Popularity"
926685,1011100,"125",6,750,40.26,2,2,2,456,"Unpopular"
926697,1011600,"214",6,750,54.75,84,328,145,558,"Unpopular"
926699,1011300,"368",6,750,81.26,5,5,5,36,"Unpopular"
926713,1091100,"368",6,750,47.51,2,3,2,18,"Unpopular"
926714,1011700,"525",12,750,43.28,4,5,5,822,"Unpopular"
926727,1011600,"232",6,750,37.5,3,3,3,738,"Unpopular"
926730,1011300,"085",6,750,41.39,1,1,1,6,"Unpopular"
926732,1011800,"578",6,750,42.9,1,1,1,318,"Unpopular"
926743,1011600,"065",6,750,52.5,27,56,34,150,"Unpopular"
926749,1081600,"623",12,1000,12,1,1,1,24,"Unpopular"
926751,1011400,"085",6,750,41.24,1,1,1,204,"Unpopular"
926756,1011600,"305",6,750,69,3,3,3,18,"Unpopular"
926760,1011600,"606",6,750,33.75,1,1,1,6,"Unpopular"
926775,1011600,"469",6,750,30,21,45,30,252,"Unpopular"
926778,1011200,"803",12,1000,12.26,2,2,2,24,"Unpopular"
926783,1011600,"065",6,750,33.75,1,1,1,6,"Unpopular"
926784,1011800,"125",6,750,34.01,1,1,1,270,"Unpopular"
926786,NA,"125",6,750,40.26,1,1,1,204,"Unpopular"
926789,1011800,"325",6,750,45,1,1,1,474,"Unpopular"
926791,1011200,"208",6,750,24,1,1,1,6,"Unpopular"
926796,1011100,"492",6,750,15,5,6,5,90,"Unpopular"
926802,1011600,"978",6,750,74.75,1,2,1,12,"Unpopular"
926804,1011200,"978",6,750,74.75,4,5,4,36,"Unpopular"
926812,1011100,"448",6,750,39.74,1,1,1,6,"Unpopular"
926814,1011200,"325",6,750,33.75,1,1,1,162,"Unpopular"
926834,1011200,"163",6,750,28.5,1,1,1,6,"Unpopular"
926855,1011200,"690",6,750,34.05,3,3,3,18,"Unpopular"
926875,1011100,"573",6,750,37.7,1,2,1,11881,"Unpopular"
926885,1011400,"085",6,750,41.39,4,6,5,2460,"Unpopular"
926902,1011400,"085",5,50,35.1,1,1,1,10,"Unpopular"
926908,1011400,"085",6,750,48.74,33,69,42,150,"Unpopular"
926913,1011200,"085",12,750,17.7,3,5,4,216,"Unpopular"
926924,1011200,"380",6,750,35.01,3,4,3,30,"Unpopular"
926925,1011600,"214",6,750,54.75,38,84,49,96,"Unpopular"
926929,1011300,"384",6,750,55.97,57,150,91,150,"Unpopular"
926930,1011300,"384",6,750,39.95,62,157,95,174,"Unpopular"
926931,1011600,"384",6,750,39.95,49,150,83,150,"Unpopular"
926932,1011400,"346",6,750,35.01,4,4,4,48,"Unpopular"
926933,1011100,"391",6,750,44.99,1,1,1,6,"Unpopular"
926942,1011600,"368",6,750,26.01,2,2,2,18,"Unpopular"
926944,1011600,"368",6,750,52.5,2,2,2,12,"Unpopular"
926949,1011100,"368",6,750,28.11,7,7,7,96,"Unpopular"
926958,1011600,"065",12,750,20.25,5,6,5,264,"Unpopular"
926960,1011600,"065",6,750,32.28,6,8,8,1272,"Unpopular"
926963,1011600,"547",6,750,104.94,5,5,5,35,"Unpopular"
926964,1011600,"547",6,750,83.76,31,80,49,543,"Unpopular"
926985,1011600,"121",3,750,174.99,14,18,17,30,"Unpopular"
926988,1011100,"232",6,750,30,2,3,3,18,"Unpopular"
926997,1011600,"232",6,750,37.5,1,1,1,120,"Unpopular"
927009,1011600,"305",6,750,75,1,1,1,6,"Unpopular"
927017,1011600,"108",6,750,73.5,4,4,4,30,"Unpopular"
927018,1052100,"108",6,750,43.5,2,2,2,30,"Unpopular"
927041,1081600,"115",6,750,67.5,73,247,121,528,"Unpopular"
927047,1011600,"065",10,50,21.26,2,2,2,30,"Unpopular"
927076,1011600,"391",6,750,74.99,1,1,1,6,"Unpopular"
927079,1011100,"978",12,750,20.85,44,107,61,1128,"Unpopular"
927080,NA,"065",6,750,31.5,2,2,2,30,"Unpopular"
